COMPANY NAME,COUNTY,TOWN,API WELL NUMBER,WELL NAME,WELL STATUS CODE,WELL TYPE CODE,SURFACE LONGITUDE,SURFACE LATITUDE,VERIFIED LOCATION,REGION,Georeference
Unknown,Allegany,Bolivar,31003700000000,Dunn J 28,UM,NL,-78.15959,42.062973,NO,9,POINT (-78.15959 42.062973)
Unknown,Ontario,West Bloomfield,31069000000000,McAllister 12,UM,DW,,,NO,8,
Unknown,Allegany,Bolivar,31003700000000,OR 5,UL,NL,-78.0889,42.061337,YES,9,POINT (-78.0889 42.061337)
Unknown,Cattaraugus,Allegany,31009700000000,KC 281,UN,NL,-78.51378,42.014015,NO,9,POINT (-78.51378 42.014015)
"Lee Oil Company, Inc.",Steuben,West Union,31101600000000,Keenan 127,UL,NL,-77.69979,42.08935,NO,8,POINT (-77.69979 42.08935)
"Lee Oil Company, Inc.",Steuben,West Union,31101200000000,Young 0-22,UL,OD,-77.71351,42.09344,NO,8,POINT (-77.71351 42.09344)
Unknown,Allegany,Bolivar,31003700000000,Szathmary D 36,UN,NL,-78.07658,42.072445,NO,9,POINT (-78.07658 42.072445)
Unknown,Allegany,Bolivar,31003700000000,Dunn P 113,UM,NL,-78.1574,42.055405,NO,9,POINT (-78.1574 42.055405)
Unknown,Cattaraugus,Allegany,31009700000000,KC 114,UN,NL,-78.49306,42.020515,NO,9,POINT (-78.49306 42.020515)
Unknown,Chautauqua,Pomfret,31013700000000,Britz 1,UM,NL,-79.32604,42.45193,NO,9,POINT (-79.32604 42.45193)
"BDH Oil, Inc.",Cattaraugus,Allegany,31009700000000,Nichols Run Ho-24,UL,OD,-78.57326,42.01432,YES,9,POINT (-78.57326 42.01432)
NYS Natural Gas Corp.,Seneca,Waterloo,31099000000000,Toewe 1,UM,DH,-76.94981,42.93092,NO,8,POINT (-76.94981 42.93092)
Unknown,Allegany,Bolivar,31003700000000,Dunn J 76,UM,NL,-78.15907,42.060097,NO,9,POINT (-78.15907 42.060097)
Unknown,Allegany,Alma,31003700000000,Root F 279,UM,NL,-78.05814,42.065235,NO,9,POINT (-78.05814 42.065235)
Eagle Oil,Allegany,Alma,31003700000000,Eagle 01,UL,OD,-78.02588,42.064343,NO,9,POINT (-78.02588 42.064343)
Unknown,Allegany,Bolivar,31003700000000,OR 67,UN,NL,-78.09759,42.074203,NO,9,POINT (-78.09759 42.074203)
